Date,Transactions
2012-09-14,35146
2012-09-16,27351
2012-09-18,31313
2012-09-20,33825
2012-09-22,23847
2012-09-24,31279
2012-09-26,31886
2012-09-28,29898
2012-09-30,21143
2012-10-02,28543
2012-10-04,29518
2012-10-06,35662
2012-10-08,38366
2012-10-10,32255
2012-10-12,24200
2012-10-14,26981
2012-10-16,33464
2012-10-18,28432
2012-10-20,27673
2012-10-22,35647
2012-10-24,33568
2012-10-26,22540
2012-10-28,17381
2012-10-30,29930
2012-11-01,25458
2012-11-03,25264
2012-11-05,32202
2012-11-07,37442
2012-11-09,26851
2012-11-11,23728
2012-11-13,24841
2012-11-15,37743
2012-11-17,34273
2012-11-19,35160
2012-11-21,41245
2012-11-23,31482
2012-11-25,34821
2012-11-27,29528
2012-11-29,39050
2012-12-01,37722
2012-12-03,22407
2012-12-05,33176
2012-12-07,32887
2012-12-09,32838
2012-12-11,36341
2012-12-13,40260
2012-12-15,33526
2012-12-17,40828
2012-12-19,49016
2012-12-21,40658
2012-12-23,39228
2012-12-25,27560
2012-12-27,43119
2012-12-29,39248
2012-12-31,34228
2013-01-02,38986
2013-01-04,49926
2013-01-06,34519
2013-01-08,35390
2013-01-10,51393
2013-01-12,46836
2013-01-14,43799
2013-01-16,52197
2013-01-18,50896
2013-01-20,41636
2013-01-22,40199
2013-01-24,46607
2013-01-26,53420
2013-01-28,52321
2013-01-30,45810
2013-02-01,56756
2013-02-03,56212
2013-02-05,53445
2013-02-07,58215
2013-02-09,50847
2013-02-11,58835
2013-02-13,57398
2013-02-15,57505
2013-02-17,50400
2013-02-19,55598
2013-02-21,58996
2013-02-23,59386
2013-02-25,65164
2013-02-27,62952
2013-03-01,65797
2013-03-03,49631
2013-03-05,56039
2013-03-07,62423
2013-03-09,47671
2013-03-11,67610
2013-03-13,56177
2013-03-15,60064
2013-03-17,34164
2013-03-19,48705
2013-03-21,53840
2013-03-23,58002
2013-03-25,51011
2013-03-27,51993
2013-03-29,66205
2013-03-31,44586
2013-04-02,60268
2013-04-04,69048
2013-04-06,57200
2013-04-08,63470
2013-04-10,68820
2013-04-12,60395
2013-04-14,53417
2013-04-16,65797
2013-04-18,52605
2013-04-20,48016
2013-04-22,46737
2013-04-24,67982
2013-04-26,56533
2013-04-28,40986
2013-04-30,48795
2013-05-02,57278
2013-05-04,48349
2013-05-06,51244
2013-05-08,47359
2013-05-10,67937
2013-05-12,69320
2013-05-14,63287
2013-05-16,60543
2013-05-18,51982
2013-05-20,50093
2013-05-22,53981
2013-05-24,55106
2013-05-26,39879
2013-05-28,55138
2013-05-30,57170
2013-06-01,52390
2013-06-03,52048
2013-06-05,54947
2013-06-07,54331
2013-06-09,46237
2013-06-11,51208
2013-06-13,43302
2013-06-15,41531
2013-06-17,43399
2013-06-19,46903
2013-06-21,52994
2013-06-23,40634
2013-06-25,45588
2013-06-27,46797
2013-06-29,38973
2013-07-01,34053
2013-07-03,35351
2013-07-05,36291
2013-07-07,28865
2013-07-09,41777
2013-07-11,41040
2013-07-13,40313
2013-07-15,36738
2013-07-17,39565
2013-07-19,38020
2013-07-21,36884
2013-07-23,39644
2013-07-25,42304
2013-07-27,35987
2013-07-29,44260
2013-07-31,51919
2013-08-02,53174
2013-08-04,44605
2013-08-06,52260
2013-08-08,57036
2013-08-10,52040
2013-08-12,45811
2013-08-14,50484
2013-08-16,68301
2013-08-18,53134
2013-08-20,66539
2013-08-22,62772
2013-08-24,51085
2013-08-26,53528
2013-08-28,63645
2013-08-30,60716
2013-09-01,45578
2013-09-03,50503
2013-09-05,60222
2013-09-07,54231
2013-09-09,54966
2013-09-11,49512
2013-09-13,48362
2013-09-15,46764
2013-09-17,66291
2013-09-19,59004
2013-09-21,53286
2013-09-23,60286
2013-09-25,58150
2013-09-27,50429
2013-09-29,41741
2013-10-01,55320
2013-10-03,61708
2013-10-05,47895
2013-10-07,43235
2013-10-09,46991
2013-10-11,54449
2013-10-13,51248
2013-10-15,57320
2013-10-17,45193
2013-10-19,54639
2013-10-21,58142
2013-10-23,54572
2013-10-25,59853
2013-10-27,44388
2013-10-29,51237
2013-10-31,56476
2013-11-02,41179
2013-11-04,42094
2013-11-06,55035
2013-11-08,59961
2013-11-10,57169
2013-11-12,58510
2013-11-14,70175
2013-11-16,51595
2013-11-18,73198
2013-11-20,77962
2013-11-22,76646
2013-11-24,60018
2013-11-26,80055
2013-11-28,102010
2013-11-30,80868
2013-12-02,74324
2013-12-04,79738
2013-12-06,71277
2013-12-08,49174
2013-12-10,67874
2013-12-12,59677
2013-12-14,55858
2013-12-16,63090
2013-12-18,81656
2013-12-20,69475
2013-12-22,51543
2013-12-24,56872
2013-12-26,48575
2013-12-28,47777
2013-12-30,56501
2014-01-01,41476
2014-01-03,63821
2014-01-05,55761
2014-01-07,62126
2014-01-09,58365
2014-01-11,56464
2014-01-13,54756
2014-01-15,60392
2014-01-17,58397
2014-01-19,49224
2014-01-21,71521
2014-01-23,63527
2014-01-25,55371
2014-01-27,60746
2014-01-29,61786
2014-01-31,61999
2014-02-02,50400
2014-02-04,65812
2014-02-06,69721
2014-02-08,64069
2014-02-10,67622
2014-02-12,62805
2014-02-14,76660
2014-02-16,56785
2014-02-18,68333
2014-02-20,71666
2014-02-22,59691
2014-02-24,68496
2014-02-26,71527
2014-02-28,71658
2014-03-02,59067
2014-03-04,85916
2014-03-06,71619
2014-03-08,71019
2014-03-10,66786
2014-03-12,76019
2014-03-14,68735
2014-03-16,58730
2014-03-18,57881
2014-03-20,72117
2014-03-22,69139
2014-03-24,67382
2014-03-26,69897
2014-03-28,69155
2014-03-30,55333
2014-04-01,64692
2014-04-03,67292
2014-04-05,59610
2014-04-07,62222
2014-04-09,64278
2014-04-11,66874
2014-04-13,49420
2014-04-15,74882
2014-04-17,67212
2014-04-19,56685
2014-04-21,57961
2014-04-23,72147
2014-04-25,78038
2014-04-27,50392
2014-04-29,64207
2014-05-01,60910
2014-05-03,56112
2014-05-05,63433
2014-05-07,70424
2014-05-09,67693
2014-05-11,51666
2014-05-13,70672
2014-05-15,72761
2014-05-17,55577
2014-05-19,60368
2014-05-21,71120
2014-05-23,74593
2014-05-25,53928
2014-05-27,67040
2014-05-29,65930
2014-05-31,55166
2014-06-02,61179
2014-06-04,66435
2014-06-06,64859
2014-06-08,47730
2014-06-10,65460
2014-06-12,61583
2014-06-14,58961
2014-06-16,65347
2014-06-18,66992
2014-06-20,59884
2014-06-22,50429
2014-06-24,64766
2014-06-26,62354
2014-06-28,56883
2014-06-30,62009
2014-07-02,67724
2014-07-04,61901
2014-07-06,53366
2014-07-08,70042
2014-07-10,64146
2014-07-12,54181
2014-07-14,59877
2014-07-16,67767
2014-07-18,62427
2014-07-20,54742
2014-07-22,66921
2014-07-24,64815
2014-07-26,57528
2014-07-28,59561
2014-07-30,64442
2014-08-01,69283
2014-08-03,52550
2014-08-05,72928
2014-08-07,70732
2014-08-09,62960
2014-08-11,70184
2014-08-13,75011
2014-08-15,69698
2014-08-17,59319
2014-08-19,75458
2014-08-21,75470
2014-08-23,60189
2014-08-25,66411
2014-08-27,74318
2014-08-29,67664
2014-08-31,59751
2014-09-02,71539
2014-09-04,70940
2014-09-06,67529
2014-09-08,71754
2014-09-10,76417
2014-09-12,66303
2014-09-14,66033
2014-09-16,89326
2014-09-18,79754
2014-09-20,62315
2014-09-22,68526
2014-09-24,81104
2014-09-26,73278
2014-09-28,62200
2014-09-30,78590
2014-10-02,74630
2014-10-04,70430
2014-10-06,75126
2014-10-08,80324
2014-10-10,84811
2014-10-12,63946
2014-10-14,81491
2014-10-16,74010
2014-10-18,69474
2014-10-20,78443
2014-10-22,79546
2014-10-24,81643
2014-10-26,70537
2014-10-28,88600
2014-10-30,93338
2014-11-01,74548
2014-11-03,84522
2014-11-05,89249
2014-11-07,89542
2014-11-09,72217
2014-11-11,87338
2014-11-13,100117
2014-11-15,74831
2014-11-17,85201
2014-11-19,87321
2014-11-21,86577
2014-11-23,75041
2014-11-25,82813
2014-11-27,82979
2014-11-29,81452
2014-12-01,95220
2014-12-03,97296
2014-12-05,92900
2014-12-07,77357
2014-12-09,89587
2014-12-11,85829
2014-12-13,79512
2014-12-15,95727
2014-12-17,93704
2014-12-19,92052
2014-12-21,80829
2014-12-23,99770
2014-12-25,70684
2014-12-27,78776
2014-12-29,79812
2014-12-31,83768
2015-01-02,72234
2015-01-04,85570
2015-01-06,87160
2015-01-08,99126
2015-01-10,105895
2015-01-12,98185
2015-01-14,104481
2015-01-16,112530
2015-01-18,87047
2015-01-20,98890
2015-01-22,94979
2015-01-24,89630
2015-01-26,105423
2015-01-28,89287
2015-01-30,86360
2015-02-01,79193
2015-02-03,93499
2015-02-05,90028
2015-02-07,86207
2015-02-09,95860
2015-02-11,98701
2015-02-13,107390
2015-02-15,85355
2015-02-17,98899
2015-02-19,96005
2015-02-21,92541
2015-02-23,96936
2015-02-25,104785
2015-02-27,103395
2015-03-01,86274
2015-03-03,109142
2015-03-05,96611
2015-03-07,94270
2015-03-09,96449
2015-03-11,102856
2015-03-13,96745
2015-03-15,84477
2015-03-17,104238
2015-03-19,102414
2015-03-21,100458
2015-03-23,106330
2015-03-25,93930
2015-03-27,106302
2015-03-29,87456
2015-03-31,105294
2015-04-02,115686
2015-04-04,94152
2015-04-06,100949
2015-04-08,108047
2015-04-10,114091
2015-04-12,88884
2015-04-14,113372
2015-04-16,104063
2015-04-18,100484
2015-04-20,115128
2015-04-22,113657
2015-04-24,110568
2015-04-26,93761
2015-04-28,112434
2015-04-30,114070
2015-05-02,96416
2015-05-04,94120
2015-05-06,113496
2015-05-08,108365
2015-05-10,90054
2015-05-12,114424
2015-05-14,101228
2015-05-16,93025
2015-05-18,97915
2015-05-20,107683
2015-05-22,100591
2015-05-24,87996
2015-05-26,106971
2015-05-28,109786
2015-05-30,132907
2015-06-01,116959
2015-06-03,125399
2015-06-05,109700
2015-06-07,88440
2015-06-09,115633
2015-06-11,125147
2015-06-13,112813
2015-06-15,122279
2015-06-17,133747
2015-06-19,125430
2015-06-21,91203
2015-06-23,128795
2015-06-25,113329
2015-06-27,108876
2015-06-29,117119
2015-07-01,150917
2015-07-03,138811
2015-07-05,101714
2015-07-07,201921
2015-07-09,187202
2015-07-11,171652
2015-07-13,176542
2015-07-15,122340
2015-07-17,118048
2015-07-19,134643
2015-07-21,123367
2015-07-23,111582
2015-07-25,106038
2015-07-27,111331
2015-07-29,136195
2015-07-31,133640
2015-08-02,98976
2015-08-04,132719
2015-08-06,132494
2015-08-08,104420
2015-08-10,110686
2015-08-12,115754
2015-08-14,107950
2015-08-16,86583
2015-08-18,120131
2015-08-20,116834
2015-08-22,107795
2015-08-24,117026
2015-08-26,125549
2015-08-28,121692
2015-08-30,92338
2015-09-01,140970
2015-09-03,137446
2015-09-05,137427
2015-09-07,119041
2015-09-09,128619
2015-09-11,165288
2015-09-13,139320
2015-09-15,165993
2015-09-17,241346
2015-09-19,117999
2015-09-21,124667
2015-09-23,134964
2015-09-25,130740
