date,open,high,low,close,vol(btc)
05/27/17 12:00 PM,2045,2099,2005.19,2018.22,1905.75
05/27/17 10:00 AM,1941.01,2045,1850,2035,3905.79
05/27/17 08:00 AM,2125,2136,1918.59,1941.39,4968.41
05/27/17 06:00 AM,2083.71,2165.71,2000.94,2128.93,3490.09
05/27/17 04:00 AM,2252.72,2252.72,2066,2083.86,2866.53
05/27/17 02:00 AM,2297.34,2300,2150,2252.72,1478.94
05/27/17 12:00 AM,2280.7,2339.94,2242.88,2296.8,1033.48
05/26/17 10:00 PM,2288,2314.96,2220,2279.82,2411.85
05/26/17 08:00 PM,2272.91,2350,2227.99,2288.2,2912.17
05/26/17 06:00 PM,2239.99,2329.11,2060,2287.92,6619.38
05/26/17 04:00 PM,2415,2460,2240,2240,2944.43
05/26/17 02:00 PM,2408.79,2433.9,2329.76,2416.09,1999.56
05/26/17 12:00 PM,2553.34,2560.1,2383.33,2408.88,2819.51
05/26/17 10:00 AM,2505,2580,2490,2553.58,1224.47
05/26/17 08:00 AM,2465.24,2599.12,2458.09,2505,2407.95
05/26/17 06:00 AM,2449.99,2469.28,2387.59,2463.82,1075.29
05/26/17 04:00 AM,2340.01,2469.85,2340,2450,1410.15
05/26/17 02:00 AM,2319.9,2368,2308.79,2340.01,872.88
05/26/17 12:00 AM,2277.01,2398,2277.01,2319.95,1629.18
05/25/17 10:00 PM,2477.26,2477.26,2221,2292.53,3423.13
05/25/17 08:00 PM,2366.27,2510.59,2360,2477.26,1802.52
05/25/17 06:00 PM,2427,2516,2328.96,2369.87,3844.22
05/25/17 04:00 PM,2686.02,2693.38,2263.72,2425,7809.34
05/25/17 02:00 PM,2715.28,2760.1,2627.56,2686.98,2990.59
05/25/17 12:00 PM,2710,2744,2686.94,2715.34,2007.06
05/25/17 10:00 AM,2655,2726.12,2645,2709.66,2670.47
05/25/17 08:00 AM,2590,2659.94,2580,2655,1151.5
05/25/17 06:00 AM,2588.4,2640,2540,2590,2028.17
05/25/17 04:00 AM,2565,2595,2493,2594.98,1723.09
05/25/17 02:00 AM,2524.99,2575,2497.51,2560.33,1646.41
05/25/17 12:00 AM,2420.29,2527.67,2420,2519.92,1868.26
05/24/17 10:00 PM,2464,2465.93,2350,2420.29,2704.06
05/24/17 08:00 PM,2470,2481.75,2415,2464,2155.05
05/24/17 06:00 PM,2433.89,2470,2410.42,2470,1659.32
